Genre,Parent Genre
Glitch Pop,Pop
Hyperpop,Pop
Indian Pop,Pop
Indie Pop,Pop
Bedroom Pop,Indie Pop
C86,Indie Pop
Chamber Pop,Indie Pop
Neo-Acoustic,Indie Pop
Sonido Donosti,Indie Pop
Twee Pop,Indie Pop
Irish Showband,Pop
Italo Pop,Pop
Canzone neomelodica,Italo Pop
Jazz Pop,Pop
J-Pop,Pop
Akishibu-kei,J-Pop
Kayōkyoku,Pop
Idol kayō,Kayōkyoku
Mood kayō,Kayōkyoku
Techno kayō,Kayōkyoku
Korean Ballad,Pop
Oriental Ballad,Korean Ballad
K-Pop,Pop
Semi-Trot,K-Pop
Latin Pop,Pop
Cumbia pop,Latin Pop
Tropipop,Latin Pop
Lokal musik,Pop
Mulatós,Pop
Nederpop,Pop
New Music,Pop
New Romantic,Pop
OPM,Pop
Orthodox Pop,Pop
Palingsound,Pop
Persian Pop,Pop
Pop Batak,Pop
Pop Ghazal,Pop
Pop Raï,Pop
Pop Reggae,Pop
Pop Rock,Pop
Beat Music,Pop Rock
Freakbeat,Beat Music
Group Sounds,Beat Music
Jovem Guarda,Beat Music
Merseybeat,Beat Music
Nederbeat,Beat Music
Big Music,Pop Rock
Britpop,Pop Rock
Jangle Pop,Pop Rock
C86,Jangle Pop
Neo-Acoustic,Jangle Pop
Manila Sound,Pop Rock
Piano Rock,Pop Rock
Post-Britpop,Pop Rock
Power Pop,Pop Rock
Soft Rock,Pop Rock
Tropical Rock,Soft Rock
Yacht Rock,Soft Rock
Sonido Donosti,Pop Rock
Stereo,Pop Rock
Twee Pop,Pop Rock
Vocal Surf,Pop Rock
Pop Soul,Pop
Motown Sound,Pop Soul
Pop Sunda,Pop
Progressive Pop,Pop
Psychedelic Pop,Pop
Rabiz,Pop
Rigsar,Pop
Rumba catalana,Pop
Russian Chanson,Pop
Schlager,Pop
Humppa,Schlager
Levenslied,Schlager
Volkstümliche Musik,Schlager
Sertanejo romântico,Pop
Sertanejo universitário,Pop
Arrocha sertanejo,Sertanejo universitário
Funknejo,Sertanejo universitário
Shibuya-kei,Pop
Akishibu-kei,Shibuya-kei
Picopop,Shibuya-kei
Sophisti-Pop,Pop
Soviet Estrada,Pop
Sunshine Pop,Pop
Synthpop,Pop
Futurepop,Synthpop
Pon-chak disco,Synthpop
Techno kayō,Synthpop
Teen Pop,Pop
Traditional Pop,Pop
British Dance Band,Traditional Pop
Mood kayō,Traditional Pop
Romanţe,Traditional Pop
Standards,Traditional Pop
Tin Pan Alley,Traditional Pop
Turkish Pop,Pop
V-Pop,Pop
Yé-yé,Pop
Psychedelia,
Neo-Psychedelia,Psychedelia
Hypnagogic Pop,Neo-Psychedelia
Paisley Underground,Neo-Psychedelia
Space Rock Revival,Neo-Psychedelia
Psychedelic Folk,Psychedelia
Freak Folk,Psychedelic Folk
Free Folk,Psychedelic Folk
Psychedelic Pop,Psychedelia
Psychedelic Rock,Psychedelia
Acid Rock,Psychedelic Rock
Heavy Psych,Psychedelic Rock
Raga Rock,Psychedelic Rock
Space Rock,Psychedelic Rock
Space Rock Revival,Space Rock
Zamrock,Psychedelic Rock
Psychedelic Soul,Psychedelia
Stoner Rock,Psychedelia
Tropicália,Psychedelia
Rock,
Acoustic Rock,Rock
Afro-Rock,Rock
Alternative Rock,Rock
Alternative Dance,Alternative Rock
Grebo,Alternative Dance
New Rave,Alternative Dance
Baggy,Alternative Rock
Britpop,Alternative Rock
Dream Pop,Alternative Rock
Emo-Pop,Alternative Rock
Geek Rock,Alternative Rock
Grunge,Alternative Rock
Indie Rock,Alternative Rock
C86,Indie Rock
